antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'rachel', 'joey', 'phoebe', 'ross', 'monica'})",frozenset({'chandler'}),0.47375886524822697,0.7858156028368795,0.4581560283687943,0.967065868263473,1.2306524135843835,1.0,0.08586892007444291,6.5034171502256415,0.3561539809568315,0.5716814159292035,0.8462346829519763,0.775049179619101
"frozenset({'monica', 'joey', 'phoebe', 'ross'})",frozenset({'chandler'}),0.5070921985815603,0.7858156028368795,0.4879432624113475,0.9622377622377621,1.2245083436419175,1.0,0.0894623006891001,5.6719201470974365,0.3719675422452734,0.6061674008810574,0.8236928634279623,0.7915881951983035
"frozenset({'rachel', 'joey', 'chandler', 'phoebe', 'ross'})",frozenset({'monica'}),0.4765957446808511,0.7617021276595745,0.4581560283687943,0.9613095238095237,1.2620544027666931,1.0,0.09513203561189071,6.159083469721755,0.3967127287371944,0.5872727272727274,0.8376381802721085,0.7813996408619313
"frozenset({'monica', 'rachel', 'joey', 'phoebe'})",frozenset({'chandler'}),0.5035460992907801,0.7858156028368795,0.4836879432624113,0.9605633802816902,1.2223775868205624,1.0,0.08799356169206779,5.431104356636278,0.36644323418516955,0.6003521126760563,0.8158753847588847,0.7880434229928306
"frozenset({'monica', 'rachel', 'joey', 'ross'})",frozenset({'chandler'}),0.5099290780141844,0.7858156028368795,0.48865248226950353,0.9582753824756606,1.2194659650637918,1.0,0.08794225642573306,5.133286052009447,0.36723034494926454,0.6054481546572934,0.805193010896296,0.7900582688551587
"frozenset({'rachel', 'joey', 'chandler', 'phoebe'})",frozenset({'monica'}),0.5049645390070922,0.7617021276595745,0.4836879432624113,0.9578651685393259,1.2575324838365451,1.0,0.09905537950807303,5.655602836879441,0.41369140149064354,0.6177536231884058,0.8231841894060998,0.7964372397631452
"frozenset({'rachel', 'chandler', 'phoebe', 'ross'})",frozenset({'monica'}),0.5063829787234042,0.7617021276595745,0.48439716312056735,0.9565826330532213,1.2558487081983631,1.0,0.09868417081635733,5.488538091969807,0.4127202504165194,0.6180995475113124,0.8178021208483395,0.796261521368324
"frozenset({'monica', 'joey', 'ross'})",frozenset({'chandler'}),0.5581560283687943,0.7858156028368795,0.5333333333333333,0.9555273189326556,1.2159688805911952,1.0,0.09472561742367086,4.81608915906788,0.4019756838905776,0.657917760279965,0.7923626479968359,0.817113839971743
"frozenset({'monica', 'joey', 'phoebe'})",frozenset({'chandler'}),0.5553191489361702,0.7858156028368795,0.5290780141843971,0.9527458492975734,1.2124292847559373,1.0,0.0926995623962577,4.532604945370903,0.39401208358454004,0.651528384279476,0.7793763162568826,0.813015523926765
"frozenset({'monica', 'rachel', 'phoebe', 'ross'})",frozenset({'chandler'}),0.5092198581560283,0.7858156028368795,0.48439716312056735,0.9512534818941505,1.2105301529519423,1.0,0.08424425330717772,4.393839918946307,0.35436572753662443,0.5975503062117236,0.7724086406316297,0.783839737336967
