antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'rachel', 'joey', 'phoebe', 'ross'})",frozenset({'chandler'}),0.502127659574468,0.7858156028368795,0.4765957446808511,0.9491525423728815,1.2078565746802914,1.0,0.08201599517126912,4.212293144208049,0.3456450956450959,0.5874125874125874,0.7625996183634532,0.7778253686593649
"frozenset({'joey', 'chandler', 'phoebe', 'ross'})",frozenset({'monica'}),0.5141843971631206,0.7617021276595745,0.4879432624113475,0.9489655172413792,1.2458485840878442,1.0,0.0962879130828429,4.669350201265088,0.40619164827703275,0.6192619261926193,0.785837438423645,0.7947807102035573
"frozenset({'rachel', 'chandler', 'phoebe'})",frozenset({'monica'}),0.5482269503546099,0.7617021276595745,0.5198581560283688,0.9482535575679173,1.244913888427154,1.0,0.10227252150294258,4.6051063829787315,0.43546552842986314,0.6579892280071814,0.7828497505082244,0.8153744510372175
"frozenset({'rachel', 'joey', 'chandler', 'phoebe', 'monica'})",frozenset({'ross'}),0.4836879432624113,0.7858156028368795,0.4581560283687943,0.9472140762463344,1.2053897540679885,1.0,0.07806649564911222,4.057604412923565,0.330019052155275,0.5646853146853147,0.753549163931561,0.7651232836105317
"frozenset({'rachel', 'chandler', 'phoebe', 'ross', 'monica'})",frozenset({'joey'}),0.48439716312056735,0.7645390070921986,0.4581560283687943,0.9458272327964862,1.2371209631197082,1.0,0.08781550223831802,4.346482652865638,0.37174273169776134,0.579372197309417,0.769928910370619,0.7725425588843284
"frozenset({'monica', 'rachel', 'joey'})",frozenset({'chandler'}),0.5574468085106383,0.7858156028368795,0.5269503546099291,0.94529262086514,1.2029445807038333,1.0,0.08889995473064738,3.9150915388421597,0.3812118231701005,0.6455256298870548,0.7445781305292959,0.8079351190968299
"frozenset({'rachel', 'joey', 'chandler', 'phoebe'})",frozenset({'ross'}),0.5049645390070922,0.7858156028368795,0.4765957446808511,0.9438202247191012,1.2010708635865819,1.0,0.07978673104974604,3.8124822695035516,0.3381771046527495,0.5853658536585368,0.7377036981918301,0.7751592098324748
"frozenset({'rachel', 'joey', 'phoebe', 'ross'})",frozenset({'monica'}),0.502127659574468,0.7617021276595745,0.47375886524822697,0.9435028248587572,1.2386768929709941,1.0,0.09128715859363218,4.217872340425546,0.3870208301346028,0.5996409335727111,0.7629136400322849,0.7827383770476282
"frozenset({'monica', 'joey'})",frozenset({'chandler'}),0.6319148936170212,0.7858156028368795,0.5950354609929078,0.941638608305275,1.1982946188722363,1.0,0.09846687792364572,3.66996726677578,0.449571813402964,0.7232758620689654,0.7275180056637012,0.8494294124558865
"frozenset({'rachel', 'chandler', 'phoebe', 'ross'})",frozenset({'joey'}),0.5063829787234042,0.7645390070921986,0.4765957446808511,0.9411764705882354,1.231037869693332,1.0,0.08944620491926969,4.002836879432631,0.3802083333333334,0.6,0.7501771793054576,0.7822765469824293
"frozenset({'monica', 'phoebe', 'ross'})",frozenset({'chandler'}),0.5546099290780142,0.7858156028368795,0.5219858156028369,0.9411764705882352,1.197706519430877,1.0,0.08616467984507814,3.6411347517730417,0.37062101910827994,0.6377816291161178,0.7253603428126211,0.8027181991930346
"frozenset({'monica', 'rachel', 'joey', 'phoebe'})",frozenset({'ross'}),0.5035460992907801,0.7858156028368795,0.47375886524822697,0.9408450704225353,1.1972847917831901,1.0,0.07806448367788343,3.620736237757519,0.33190761334473917,0.5808695652173913,0.723813077138327,0.7718665785325673
"frozenset({'joey', 'phoebe', 'ross'})",frozenset({'chandler'}),0.5468085106382978,0.7858156028368795,0.5141843971631206,0.9403372243839171,1.1966385256149126,1.0,0.08449373773955038,3.5899167437557873,0.36259672980411223,0.6282495667244368,0.7214420078851758,0.797334677173908
"frozenset({'chandler', 'phoebe', 'ross'})",frozenset({'monica'}),0.5553191489361702,0.7617021276595745,0.5219858156028369,0.9399744572158365,1.2340446784677184,1.0,0.09899803832805193,3.9699411498415555,0.4265004160599127,0.656556645851918,0.7481070972450282,0.8126315489058697
"frozenset({'joey', 'chandler', 'phoebe', 'ross', 'monica'})",frozenset({'rachel'}),0.4879432624113475,0.7858156028368795,0.4581560283687943,0.938953488372093,1.1948776341197211,1.0,0.07472259946682763,3.50854441067207,0.318508100134645,0.5617391304347825,0.7149815185584475,0.7609929896734111
"frozenset({'rachel', 'joey', 'chandler', 'ross', 'monica'})",frozenset({'phoebe'}),0.48865248226950353,0.7276595744680852,0.4581560283687943,0.9375907111756169,1.2885018545395903,1.0,0.10258337105779386,4.363780306778824,0.43787223627315,0.6043030869971936,0.7708408925979682,0.7836101704026233
"frozenset({'joey', 'chandler', 'phoebe'})",frozenset({'monica'}),0.5645390070921986,0.7617021276595745,0.5290780141843971,0.9371859296482411,1.2303837623873557,1.0,0.09906745133544587,3.7937021276595684,0.42999362506658734,0.6637010676156583,0.7364052404881546,0.8158927786043813
"frozenset({'monica', 'rachel', 'phoebe'})",frozenset({'chandler'}),0.5560283687943263,0.7858156028368795,0.5198581560283688,0.9349489795918368,1.189781643704413,1.0,0.0829223882098486,3.292560144625227,0.35927890545659,0.6324417601380502,0.6962849709420192,0.7982506630811169
"frozenset({'monica', 'chandler', 'phoebe', 'ross'})",frozenset({'joey'}),0.5219858156028369,0.7645390070921986,0.4879432624113475,0.9347826086956522,1.2226748406872632,1.0,0.08886474523414317,3.6104018912529576,0.38099510040714935,0.61101243339254,0.7230225248821375,0.786500766314431
"frozenset({'monica', 'joey', 'phoebe', 'ross'})",frozenset({'rachel'}),0.5070921985815603,0.7858156028368795,0.47375886524822697,0.9342657342657342,1.1889121708616293,1.0,0.07527790352597957,3.258337105779385,0.32236246930599227,0.5783549783549784,0.6930949844857127,0.7685769104541668
"frozenset({'monica', 'rachel', 'ross'})",frozenset({'chandler'}),0.5673758865248227,0.7858156028368795,0.5297872340425532,0.93375,1.1882558664259928,1.0,0.08393440973794075,3.2329720326508746,0.3662080014045252,0.6434108527131784,0.690687086092715,0.8039688628158845
"frozenset({'rachel', 'joey', 'phoebe'})",frozenset({'chandler'}),0.5418439716312057,0.7858156028368795,0.5049645390070922,0.931937172774869,1.1859489292532177,1.0,0.07917509179618726,3.146863066011996,0.3422270149928686,0.6137931034482756,0.6822232238826664,0.7872682253766041
"frozenset({'monica', 'rachel', 'chandler', 'phoebe'})",frozenset({'ross'}),0.5198581560283688,0.7858156028368795,0.48439716312056735,0.9317871759890859,1.1857580488669774,1.0,0.07588451285146619,3.1399432624113444,0.3262736515200338,0.5898100172711571,0.6815229077636129,0.7741065843844346
"frozenset({'rachel', 'joey', 'chandler', 'ross'})",frozenset({'monica'}),0.524822695035461,0.7617021276595745,0.48865248226950353,0.9310810810810811,1.2223690170617545,1.0,0.0888939188169609,3.4576554025865684,0.3828390702510668,0.6124444444444445,0.7107866795366797,0.7863040414716392
"frozenset({'monica', 'rachel', 'chandler', 'phoebe'})",frozenset({'joey'}),0.5198581560283688,0.7645390070921986,0.4836879432624113,0.9304229195088676,1.2169724642926747,1.0,0.08623610482370098,3.384174662772906,0.371325106018011,0.6040744021257748,0.7045069774322388,0.7815379903666786
"frozenset({'monica', 'rachel', 'phoebe', 'ross'})",frozenset({'joey'}),0.5092198581560283,0.7645390070921986,0.47375886524822697,0.9303621169916436,1.2168929359538196,1.0,0.08444042050198686,3.381219858156036,0.363166730123568,0.5921985815602838,0.7042487498741491,0.7750140826145602
"frozenset({'rachel', 'joey', 'phoebe'})",frozenset({'monica'}),0.5418439716312057,0.7617021276595745,0.5035460992907801,0.9293193717277486,1.2200561584135248,1.0,0.09082239323977664,3.3714736012608304,0.39367723368072205,0.6294326241134751,0.7033937920718021,0.795199723107822
"frozenset({'monica', 'rachel', 'joey', 'ross'})",frozenset({'phoebe'}),0.5099290780141844,0.7276595744680852,0.47375886524822697,0.9290681502086231,1.2767895631522013,1.0,0.10270408933152253,3.8394659991656237,0.4423555205074654,0.6202414113277622,0.7395471140472879,0.7900701374824792
"frozenset({'rachel', 'joey', 'ross'})",frozenset({'chandler'}),0.5652482269503546,0.7858156028368795,0.524822695035461,0.9284818067754078,1.1815517577196073,1.0,0.08064181882199084,2.994823939280827,0.35343238834266566,0.6351931330472104,0.6660905548123345,0.7981759214382453
"frozenset({'monica', 'chandler', 'phoebe', 'ross'})",frozenset({'rachel'}),0.5219858156028369,0.7858156028368795,0.48439716312056735,0.9279891304347826,1.1809247959504001,1.0,0.0742125647603239,2.9743342700388054,0.32050518961989116,0.5882859603789836,0.6637903109703426,0.772207561607283
"frozenset({'joey', 'phoebe', 'ross'})",frozenset({'monica'}),0.5468085106382978,0.7617021276595745,0.5070921985815603,0.9273670557717252,1.2174930620466784,1.0,0.09058699260600578,3.280851063829794,0.39418234347811826,0.6327433628318584,0.6952010376134896,0.7965513118709651
"frozenset({'monica', 'rachel', 'joey', 'chandler'})",frozenset({'ross'}),0.5269503546099291,0.7858156028368795,0.48865248226950353,0.9273216689098249,1.1800754089917447,1.0,0.0745666716965947,2.9470186498555244,0.3225803643896483,0.5929432013769361,0.6606740170955402,0.774581412072241
"frozenset({'joey', 'chandler', 'phoebe', 'ross'})",frozenset({'rachel'}),0.5141843971631206,0.7858156028368795,0.4765957446808511,0.926896551724138,1.1795344205153742,1.0,0.07254162265479602,2.929880904589859,0.31330378866875214,0.5788113695090439,0.6586891984471342,0.7666973733349931
"frozenset({'rachel', 'joey', 'phoebe'})",frozenset({'ross'}),0.5418439716312057,0.7858156028368795,0.502127659574468,0.9267015706806282,1.1792862948192109,1.0,0.07633821236356314,2.922087132725427,0.3318290741809657,0.6082474226804122,0.6577788564890257,0.7828453701778592
"frozenset({'rachel', 'phoebe', 'ross'})",frozenset({'monica'}),0.549645390070922,0.7617021276595745,0.5092198581560283,0.9264516129032258,1.2162912236438999,1.0,0.09055379508073036,3.2400149309443798,0.39486324655100574,0.6348364279398763,0.691359447004608,0.797490238481408
"frozenset({'monica', 'ross'})",frozenset({'chandler'}),0.6340425531914894,0.7858156028368795,0.5872340425531914,0.9261744966442952,1.178615559809076,1.0,0.088993511392787,2.9012250161186284,0.4141107740703288,0.705281090289608,0.655318014133961,0.8367334577084291
"frozenset({'chandler', 'phoebe', 'ross'})",frozenset({'joey'}),0.5553191489361702,0.7645390070921986,0.5141843971631206,0.925925925925926,1.2110904968047826,1.0,0.0896212464161763,3.178723404255324,0.3919617224880385,0.6382042253521126,0.6854082998661317,0.7992338349481207
"frozenset({'rachel', 'joey', 'chandler'})",frozenset({'monica'}),0.5695035460992908,0.7617021276595745,0.5269503546099291,0.925280199252802,1.2147533342145724,1.0,0.09315829183642677,3.18921985815603,0.4106598433262898,0.6552028218694885,0.6864436932930085,0.8085432653619691
"frozenset({'rachel', 'chandler', 'phoebe'})",frozenset({'ross'}),0.5482269503546099,0.7858156028368795,0.5063829787234042,0.9236739974126779,1.1754335165630647,1.0,0.07557768723907243,2.80617862723885,0.3303651130781981,0.6118251928020566,0.6436434978538933,0.7840391647713209
"frozenset({'monica', 'rachel', 'chandler', 'ross'})",frozenset({'joey'}),0.5297872340425532,0.7645390070921986,0.48865248226950353,0.9223560910307897,1.2064212322387882,1.0,0.08360947638448768,3.0325752017608187,0.3638823398065265,0.6065140845070421,0.6702472540765468,0.7807513293743931
"frozenset({'monica', 'joey', 'chandler', 'phoebe'})",frozenset({'ross'}),0.5290780141843971,0.7858156028368795,0.4879432624113475,0.9222520107238605,1.1736239486648405,1.0,0.07218550374729638,2.75485448764979,0.31414611936116543,0.5900514579759862,0.6370044209292826,0.7715953194413526
"frozenset({'chandler', 'phoebe'})",frozenset({'monica'}),0.6276595744680851,0.7617021276595745,0.5787234042553191,0.9220338983050848,1.2104914307357257,1.0,0.1006337709370756,3.0564292321924147,0.4670168067226891,0.7139107611548555,0.6728208232445521,0.840905217308967
"frozenset({'rachel', 'joey', 'chandler'})",frozenset({'ross'}),0.5695035460992908,0.7858156028368795,0.524822695035461,0.9215442092154421,1.1727232265286762,1.0,0.07729792263970625,2.730001125745807,0.3421256511866067,0.6319385140905208,0.6336997847475939,0.7947071226582625
"frozenset({'rachel', 'phoebe', 'ross'})",frozenset({'chandler'}),0.549645390070922,0.7858156028368795,0.5063829787234042,0.9212903225806451,1.172400139746128,1.0,0.07446305517831092,2.7211952098593177,0.3265180087783144,0.6107784431137724,0.6325144199957272,0.7828473273553045
"frozenset({'rachel', 'chandler', 'phoebe'})",frozenset({'joey'}),0.5482269503546099,0.7645390070921986,0.5049645390070922,0.9210866752910737,1.2047608647128143,1.0,0.08582365072179465,2.983792582257875,0.3762060571851903,0.6251097453906935,0.6648560607241383,0.7907845250295813
"frozenset({'joey', 'phoebe', 'ross'})",frozenset({'rachel'}),0.5468085106382978,0.7858156028368795,0.502127659574468,0.9182879377431906,1.1685794153591145,1.0,0.07243700015089782,2.6212090509962835,0.3183204689530781,0.6046114432109307,0.6184966629731747,0.7786385537091404
"frozenset({'monica', 'phoebe', 'ross'})",frozenset({'rachel'}),0.5546099290780142,0.7858156028368795,0.5092198581560283,0.918158567774936,1.1684147839013175,1.0,0.07339872239826961,2.6170656028368766,0.3236254280290258,0.6126279863481228,0.6178926508697342,0.7830865041040744
"frozenset({'monica', 'rachel', 'joey', 'chandler'})",frozenset({'phoebe'}),0.5269503546099291,0.7276595744680852,0.4836879432624113,0.9179004037685059,1.2614420753543794,1.0,0.10024747246114374,3.3171956749215137,0.4381284431098232,0.6274149034038636,0.6985405450874825,0.7913088763481906
"frozenset({'monica', 'phoebe'})",frozenset({'chandler'}),0.6304964539007092,0.7858156028368795,0.5787234042553191,0.9178852643419573,1.1680669880163896,1.0,0.0832694532468185,2.6083551928495097,0.3894000978510403,0.6909398814563927,0.6166166315303303,0.8271736791023865
"frozenset({'joey', 'phoebe'})",frozenset({'chandler'}),0.6156028368794326,0.7858156028368795,0.5645390070921986,0.9170506912442397,1.1670049410238068,1.0,0.08078869272169409,2.582111899133176,0.3722857831593392,0.6745762711864407,0.6127201147495958,0.8177311217954051
"frozenset({'rachel', 'chandler', 'ross'})",frozenset({'monica'}),0.5780141843971631,0.7617021276595745,0.5297872340425532,0.9165644171779141,1.203310827021284,1.0,0.08951259996982047,2.8560700876095133,0.40039148189396256,0.6541155866900177,0.649868536371604,0.8060475717174487
"frozenset({'monica', 'joey', 'chandler', 'ross'})",frozenset({'rachel'}),0.5333333333333333,0.7858156028368795,0.48865248226950353,0.9162234042553191,1.1659521660649819,1.0,0.06955082742316782,2.5566137566137552,0.30499688990255014,0.5883859948761743,0.6088576158940395,0.769032279744988
"frozenset({'monica', 'rachel', 'phoebe'})",frozenset({'ross'}),0.5560283687943263,0.7858156028368795,0.5092198581560283,0.9158163265306122,1.1654341339423855,1.0,0.0722840903375081,2.5442510208467635,0.3197291019605397,0.6115843270868824,0.6069570212190833,0.7819153834819126
"frozenset({'joey', 'ross'})",frozenset({'chandler'}),0.6418439716312057,0.7858156028368795,0.5872340425531914,0.9149171270718232,1.1642898458224464,1.0,0.0828630350585986,2.517362070553558,0.39398287654852415,0.6987341772151898,0.6027587720903002,0.8311047729221932
"frozenset({'monica', 'joey', 'chandler', 'ross'})",frozenset({'phoebe'}),0.5333333333333333,0.7276595744680852,0.4879432624113475,0.9148936170212766,1.2573099415204678,1.0,0.09985815602836873,3.199999999999999,0.43853820598006615,0.6311926605504588,0.6874999999999999,0.792729459582763
"frozenset({'monica', 'rachel', 'joey'})",frozenset({'ross'}),0.5574468085106383,0.7858156028368795,0.5099290780141844,0.9147582697201018,1.1640876898062666,1.0,0.07187867813490267,2.5126706891076527,0.31851128704397136,0.6119148936170212,0.6020170871037863,0.7818376186145635
"frozenset({'monica', 'rachel', 'chandler', 'ross'})",frozenset({'phoebe'}),0.5297872340425532,0.7276595744680852,0.48439716312056735,0.9143239625167335,1.2565270829908326,1.0,0.09889240983853925,3.178723404255316,0.43417713971499156,0.6266055045871559,0.6854082998661309,0.7900079851570022
"frozenset({'monica', 'phoebe', 'ross'})",frozenset({'joey'}),0.5546099290780142,0.7645390070921986,0.5070921985815603,0.9143222506393862,1.1959131478678429,1.0,0.08307127408078063,2.7482163649835933,0.3678098971092601,0.6244541484716158,0.6361276307275138,0.7887937783809176
"frozenset({'monica', 'chandler', 'phoebe'})",frozenset({'joey'}),0.5787234042553191,0.7645390070921986,0.5290780141843971,0.9142156862745099,1.195773764051075,1.0,0.08662139731401847,2.744802431610945,0.38863162455655775,0.6498257839721255,0.635675053153792,0.8031189748626724
"frozenset({'monica', 'joey', 'chandler', 'phoebe'})",frozenset({'rachel'}),0.5290780141843971,0.7858156028368795,0.4836879432624113,0.9142091152815013,1.1633888560892751,1.0,0.0679301845983602,2.496586879432622,0.2982281030279474,0.5819112627986347,0.5994531541288636,0.7648662904927361
"frozenset({'monica', 'joey', 'ross'})",frozenset({'rachel'}),0.5581560283687943,0.7858156028368795,0.5099290780141844,0.9135959339263025,1.1626085440758902,1.0,0.07132136210452195,2.47886942010847,0.31654897898588436,0.6113945578231292,0.5965902875367101,0.7812564507176638
"frozenset({'rachel', 'phoebe', 'ross'})",frozenset({'joey'}),0.549645390070922,0.7645390070921986,0.502127659574468,0.9135483870967742,1.1949009515829794,1.0,0.08190231879684118,2.723615962739495,0.3621824814271096,0.6183406113537117,0.6328410415856978,0.7851600933628583
"frozenset({'monica', 'joey', 'phoebe'})",frozenset({'ross'}),0.5553191489361702,0.7858156028368795,0.5070921985815603,0.9131545338441891,1.1620468345851143,1.0,0.07071374679342085,2.466270337922405,0.31359453943185994,0.6079931972789115,0.5945294460937305,0.7792306965249827
"frozenset({'rachel', 'joey', 'phoebe', 'ross'})","frozenset({'monica', 'chandler'})",0.502127659574468,0.6801418439716312,0.4581560283687943,0.9124293785310735,1.3415280747954261,1.0,0.11663799607665609,3.6525737817433113,0.511338678521341,0.6327130264446621,0.7262204517268596,0.7930238654907713
"frozenset({'chandler', 'phoebe', 'ross'})",frozenset({'rachel'}),0.5553191489361702,0.7858156028368795,0.5063829787234042,0.9118773946360152,1.160421594257023,1.0,0.07000452693526477,2.4305272895467134,0.3108841622773509,0.606627017841971,0.5885666438304022,0.7781408633829896
"frozenset({'monica', 'rachel', 'chandler'})",frozenset({'ross'}),0.5815602836879432,0.7858156028368795,0.5297872340425532,0.9109756097560977,1.159274016025359,1.0,0.07278808913032553,2.405906927037796,0.328341615047762,0.6325148179508892,0.5843563236956879,0.7925816676939333
"frozenset({'joey', 'chandler', 'phoebe'})",frozenset({'ross'}),0.5645390070921986,0.7858156028368795,0.5141843971631206,0.9108040201005025,1.1590556573481123,1.0,0.07056083698003118,2.4012785935470986,0.31513422441873523,0.6149279050042408,0.5835551931844655,0.7825680750322007
"frozenset({'monica', 'rachel', 'joey', 'phoebe'})","frozenset({'chandler', 'ross'})",0.5035460992907801,0.6617021276595745,0.4581560283687943,0.9098591549295776,1.3750283048774967,1.0,0.12495850309340578,3.752992021276601,0.5493808049535603,0.6479438314944834,0.7335459296660469,0.8011246471325273
"frozenset({'monica', 'joey', 'ross'})",frozenset({'phoebe'}),0.5581560283687943,0.7276595744680852,0.5070921985815603,0.9085133418043203,1.2485417270410248,1.0,0.10094462049192698,2.9768321513002394,0.4505337359269944,0.651183970856102,0.6640724269377386,0.802697216711127
"frozenset({'joey', 'chandler', 'ross'})",frozenset({'monica'}),0.5872340425531914,0.7617021276595745,0.5333333333333333,0.9082125603864735,1.1923460988314036,1.0,0.08603591368643432,2.596192609182532,0.39082035534108367,0.653913043478261,0.6148205659075227,0.804199390062883
"frozenset({'monica', 'chandler', 'ross'})",frozenset({'joey'}),0.5872340425531914,0.7645390070921986,0.5333333333333333,0.9082125603864735,1.1879218090398216,1.0,0.08437000150897844,2.5652855543113113,0.3832529063391095,0.6516464471403812,0.6101798498341192,0.8029003432730141
"frozenset({'rachel', 'joey', 'chandler', 'ross'})",frozenset({'phoebe'}),0.524822695035461,0.7276595744680852,0.4765957446808511,0.9081081081081082,1.2479848269321954,1.0,0.09470348574015391,2.9637046307884867,0.41817697228144984,0.6142595978062156,0.6625844594594595,0.7815394341710131
"frozenset({'rachel', 'chandler', 'ross'})",frozenset({'joey'}),0.5780141843971631,0.7645390070921986,0.524822695035461,0.9079754601226994,1.187611687173475,1.0,0.08290830441124691,2.5586761229314416,0.37435839200545085,0.6418039895923676,0.6091728878705003,0.7972159304324071
"frozenset({'rachel', 'joey', 'chandler', 'phoebe'})","frozenset({'monica', 'ross'})",0.5049645390070922,0.6340425531914894,0.4581560283687943,0.9073033707865169,1.4309818264082648,1.0,0.13798702278557418,3.947904577691814,0.608399052578353,0.6729166666666667,0.7467010713352497,0.8149492245431466
"frozenset({'monica', 'joey', 'phoebe'})",frozenset({'rachel'}),0.5553191489361702,0.7858156028368795,0.5035460992907801,0.9067688378033205,1.1539206329446587,1.0,0.06716764750264065,2.2973477120373054,0.29996630500707566,0.6011854360711261,0.5647154347770924,0.7737815308150175
"frozenset({'monica', 'rachel', 'chandler'})",frozenset({'joey'}),0.5815602836879432,0.7645390070921986,0.5269503546099291,0.9060975609756099,1.1851554368975974,1.0,0.08232483275489166,2.5075066777194475,0.3733604033122706,0.6432900432900434,0.6011974728181023,0.7976684465360424
"frozenset({'monica', 'rachel', 'phoebe'})",frozenset({'joey'}),0.5560283687943263,0.7645390070921986,0.5035460992907801,0.9056122448979591,1.1845206542728408,1.0,0.07844072229767107,2.494613762698867,0.3508707195248164,0.6163194444444443,0.599136341283501,0.7821196660482375
"frozenset({'phoebe', 'ross'})",frozenset({'chandler'}),0.6134751773049646,0.7858156028368795,0.5553191489361702,0.9052023121387281,1.151927130068237,1.0,0.07324078265680795,2.2593841895865725,0.3412187891782954,0.6579831932773107,0.5574015235616115,0.8059405062498695
"frozenset({'rachel', 'chandler'})",frozenset({'monica'}),0.6425531914893617,0.7617021276595745,0.5815602836879432,0.9050772626931566,1.188229925882077,1.0,0.0921261505960464,2.5104403760514558,0.44317653890824593,0.7068965517241378,0.6016635130873536,0.8342890968959265
"frozenset({'rachel', 'chandler', 'phoebe', 'ross'})","frozenset({'monica', 'joey'})",0.5063829787234042,0.6319148936170212,0.4581560283687943,0.9047619047619049,1.4317780984447654,1.0,0.138165082239324,3.8648936170212815,0.6109346642468241,0.6736183524504694,0.7412606661161578,0.8148949815616483
"frozenset({'monica', 'rachel'})",frozenset({'chandler'}),0.6432624113475177,0.7858156028368795,0.5815602836879432,0.9040793825799338,1.1504981312614682,1.0,0.0760746441325888,2.232933887666095,0.36668767880521697,0.6861924686192467,0.552158706747373,0.8220757923729993
"frozenset({'phoebe', 'ross'})",frozenset({'monica'}),0.6134751773049646,0.7617021276595745,0.5546099290780142,0.9040462427745665,1.1868763522459391,1.0,0.08732458125848802,2.4834657780056393,0.4073535277693049,0.675885911840968,0.59733691164327,0.8160827117038568
"frozenset({'monica', 'joey', 'phoebe', 'ross'})","frozenset({'rachel', 'chandler'})",0.5070921985815603,0.6425531914893617,0.4581560283687943,0.9034965034965035,1.4061038299448894,1.0,0.13232231779085557,3.703977798334873,0.5859411541973851,0.6625641025641025,0.7300199800199799,0.808260393028605
"frozenset({'monica', 'rachel', 'joey'})",frozenset({'phoebe'}),0.5574468085106383,0.7276595744680852,0.5035460992907801,0.9033078880407124,1.241388033272324,1.0,0.09791459182133688,2.8165733482642747,0.4393824485373779,0.644283121597096,0.6449586513994907,0.7976578426558337
frozenset({'mr'}),frozenset({'rachel'}),0.05815602836879433,0.7858156028368795,0.0524822695035461,0.9024390243902439,1.1484106718323501,1.0,0.00678235501232332,2.1953900709219862,0.13721100618690973,0.06630824372759857,0.5445000807623971,0.4846130140001761
"frozenset({'monica', 'chandler', 'ross'})",frozenset({'rachel'}),0.5872340425531914,0.7858156028368795,0.5297872340425532,0.9021739130434784,1.148073300894679,1.0,0.06832956088727937,2.1894405043341236,0.3124663602865071,0.6282590412111019,0.5432623092427301,0.7881808193376236
"frozenset({'rachel', 'joey', 'ross'})",frozenset({'monica'}),0.5652482269503546,0.7617021276595745,0.5099290780141844,0.902132998745295,1.1843645514253873,1.0,0.0793783008902973,2.434915439170761,0.3580557553426343,0.6241319444444445,0.58930811973472,0.7857964807506735
"frozenset({'joey', 'phoebe'})",frozenset({'monica'}),0.6156028368794326,0.7617021276595745,0.5553191489361702,0.9020737327188939,1.1842867440722908,1.0,0.08641315829183638,2.4334418022528137,0.4048154274646193,0.6755823986194996,0.5890594140882155,0.8155620060242514
"frozenset({'monica', 'chandler', 'phoebe'})",frozenset({'ross'}),0.5787234042553191,0.7858156028368795,0.5219858156028369,0.9019607843137255,1.1478020811212573,1.0,0.06721593481213217,2.18468085106383,0.30566534914360993,0.6195286195286195,0.5422672380210363,0.7831103560557797
